epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,277.324,1.37092,3.24943,1.2495,0.25,1,0.56551,0.265,1.51314,4.12376,1.34684,0.000124762,0.000124762,0.000124762
47,281.911,1.35917,3.27054,1.19883,0.19355,1,0.64151,0.24975,1.64244,4.05166,1.42483,0.000125258,0.000125258,0.000125258
48,286.459,1.34981,3.13467,1.17486,0.19355,1,0.64151,0.24975,1.64244,4.05166,1.42483,0.000125655,0.000125655,0.000125655
49,290.955,1.35314,3.20316,1.31327,0.17647,1,0.75024,0.30434,1.56295,4.00863,1.41136,0.000125952,0.000125952,0.000125952
50,295.458,1.22027,3.26218,1.12568,0.17647,1,0.75024,0.30434,1.56295,4.00863,1.41136,0.000126151,0.000126151,0.000126151
51,300.041,1.41856,3.28671,1.29288,0.17143,1,0.71833,0.3029,1.54132,3.93715,1.41581,0.00012625,0.00012625,0.00012625
52,304.543,1.52384,3.13711,1.36122,0.17143,1,0.71833,0.3029,1.54132,3.93715,1.41581,0.00012625,0.00012625,0.00012625
53,309.257,1.25508,3.20167,1.16283,0.17143,1,0.71833,0.3029,1.54132,3.93715,1.41581,0.000126152,0.000126152,0.000126152
54,313.872,1.32398,3.34455,1.21007,0.17143,1,0.67278,0.28503,1.46755,3.86686,1.36279,0.000125955,0.000125955,0.000125955
55,318.305,1.22642,2.91069,1.16435,0.17143,1,0.67278,0.28503,1.46755,3.86686,1.36279,0.000125658,0.000125658,0.000125658
56,322.927,1.36131,3.19888,1.17337,0.17143,1,0.67278,0.28503,1.46755,3.86686,1.36279,0.000125262,0.000125262,0.000125262
57,327.489,1.31278,3.25009,1.13204,0.17143,1,0.85833,0.33772,1.4642,3.79917,1.36493,0.000124768,0.000124768,0.000124768
58,332.026,1.23157,2.95999,1.17911,0.17143,1,0.85833,0.33772,1.4642,3.79917,1.36493,0.000124174,0.000124174,0.000124174
59,336.543,1.39632,2.98425,1.20011,0.17143,1,0.85833,0.33772,1.4642,3.79917,1.36493,0.000123482,0.000123482,0.000123482
60,341.245,1.24378,2.88686,1.14112,0.17143,1,0.785,0.39411,1.46534,3.70889,1.37644,0.000122691,0.000122691,0.000122691
61,345.761,1.10614,2.78981,1.06966,0.17143,1,0.785,0.39411,1.46534,3.70889,1.37644,0.0001218,0.0001218,0.0001218
62,350.36,1.15085,2.66539,1.13303,0.17143,1,0.785,0.39411,1.46534,3.70889,1.37644,0.000120811,0.000120811,0.000120811
63,354.979,1.27307,2.668,1.21484,0.17647,1,0.785,0.40125,1.39765,3.70447,1.35601,0.000119722,0.000119722,0.000119722
64,359.589,1.11275,2.7341,1.07747,0.17647,1,0.785,0.40125,1.39765,3.70447,1.35601,0.000118535,0.000118535,0.000118535
65,364.113,1.2897,2.65064,1.18579,0.17647,1,0.785,0.40125,1.39765,3.70447,1.35601,0.000117248,0.000117248,0.000117248
66,368.711,1.27247,3.05462,1.12783,0.2069,1,0.851,0.3771,1.39549,3.6883,1.35402,0.000115862,0.000115862,0.000115862
67,373.306,1.21754,2.77914,1.1958,0.2069,1,0.851,0.3771,1.39549,3.6883,1.35402,0.000114378,0.000114378,0.000114378
68,377.811,1.09712,2.76869,1.12741,0.2069,1,0.851,0.3771,1.39549,3.6883,1.35402,0.000112794,0.000112794,0.000112794
69,382.344,1.2055,2.4506,1.15509,0.24,1,0.82452,0.42219,1.39665,3.62142,1.33839,0.000111112,0.000111112,0.000111112
70,387.028,1.11059,2.66287,1.04611,0.24,1,0.82452,0.42219,1.39665,3.62142,1.33839,0.000109331,0.000109331,0.000109331
71,391.575,1.15797,2.64998,1.121,0.24,1,0.82452,0.42219,1.39665,3.62142,1.33839,0.00010745,0.00010745,0.00010745
72,396.148,1.09141,2.48729,1.1741,0.53719,1,0.86561,0.4493,1.42351,3.51322,1.34751,0.00010547,0.00010547,0.00010547
73,400.671,1.07352,2.2163,1.07411,0.53719,1,0.86561,0.4493,1.42351,3.51322,1.34751,0.000103392,0.000103392,0.000103392
74,405.092,1.14417,2.6104,1.06708,0.53719,1,0.86561,0.4493,1.42351,3.51322,1.34751,0.000101215,0.000101215,0.000101215
75,409.546,1.27807,2.35506,1.18147,0.77887,0.5,0.89833,0.43569,1.36547,3.50194,1.33792,9.8938e-05,9.8938e-05,9.8938e-05
76,413.988,1.15286,2.26335,1.17893,0.77887,0.5,0.89833,0.43569,1.36547,3.50194,1.33792,9.65625e-05,9.65625e-05,9.65625e-05
77,418.527,1.19342,2.65431,1.20552,0.77887,0.5,0.89833,0.43569,1.36547,3.50194,1.33792,9.4088e-05,9.4088e-05,9.4088e-05
78,423.168,1.26328,2.43124,1.18247,1,0.53647,0.94786,0.49794,1.35164,3.4085,1.33153,9.15145e-05,9.15145e-05,9.15145e-05
79,427.73,1.16058,2.53238,1.13105,1,0.53647,0.94786,0.49794,1.35164,3.4085,1.33153,8.8842e-05,8.8842e-05,8.8842e-05
80,432.594,1.08896,2.45805,1.09364,1,0.53647,0.94786,0.49794,1.35164,3.4085,1.33153,8.60705e-05,8.60705e-05,8.60705e-05
81,437.143,1.30601,2.25519,1.29513,1,0.57084,0.995,0.54191,1.25339,3.32782,1.29792,8.32e-05,8.32e-05,8.32e-05
82,441.71,1.17824,2.58075,1.10854,1,0.57084,0.995,0.54191,1.25339,3.32782,1.29792,8.02305e-05,8.02305e-05,8.02305e-05
83,446.188,1.17814,2.3175,1.13549,1,0.57084,0.995,0.54191,1.25339,3.32782,1.29792,7.7162e-05,7.7162e-05,7.7162e-05
84,450.733,1.23106,2.39701,1.15728,1,0.62366,0.995,0.57824,1.20178,3.20028,1.27543,7.39945e-05,7.39945e-05,7.39945e-05
