epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.17361,0,40.6553,0,0,0,0,0,0,33.3624,0,0,0,0
2,8.45894,0,40.6493,0,0,0,0,0,0,33.3597,0,4.12872e-06,4.12872e-06,4.12872e-06
3,13.3349,0,40.581,0,0,0,0,0,0,33.3567,0,8.17487e-06,8.17487e-06,8.17487e-06
4,17.2152,0,40.5914,0,0,0,0,0,0,33.3532,0,1.21385e-05,1.21385e-05,1.21385e-05
5,21.2861,0,40.5832,0,0,0,0,0,0,33.35,0,1.60195e-05,1.60195e-05,1.60195e-05
6,25.1589,0,40.5691,0,0,0,0,0,0,33.3465,0,1.98179e-05,1.98179e-05,1.98179e-05
7,28.903,0,40.5266,0,0,0,0,0,0,33.3423,0,2.35338e-05,2.35338e-05,2.35338e-05
8,32.9328,0,40.517,0,0,0,0,0,0,33.3389,0,2.71671e-05,2.71671e-05,2.71671e-05
9,36.692,0,40.4573,0,0,0,0,0,0,33.3352,0,3.07179e-05,3.07179e-05,3.07179e-05
10,40.4591,0,40.3865,0,0,0,0,0,0,33.331,0,3.41861e-05,3.41861e-05,3.41861e-05
11,44.6819,0,40.3546,0,0,0,0,0,0,33.3262,0,3.75717e-05,3.75717e-05,3.75717e-05
12,48.5955,0,40.3026,0,0,0,0,0,0,33.3218,0,4.08748e-05,4.08748e-05,4.08748e-05
13,52.7316,0,40.2394,0,0,0,0,0,0,33.3171,0,4.40952e-05,4.40952e-05,4.40952e-05
14,56.858,0,40.2558,0,0,0,0,0,0,33.3116,0,4.72332e-05,4.72332e-05,4.72332e-05
15,60.9946,0,40.205,0,0,0,0,0,0,33.3039,0,5.02885e-05,5.02885e-05,5.02885e-05
16,64.3091,0,40.0421,0,0,0,0,0,0,33.2966,0,5.32613e-05,5.32613e-05,5.32613e-05
17,67.9687,0,40.0031,0,0,0,0,0,0,33.2888,0,5.61516e-05,5.61516e-05,5.61516e-05
18,71.4924,0,39.956,0,0,0,0,0,0,33.2888,0,5.89592e-05,5.89592e-05,5.89592e-05
19,75.1436,0,40.0332,0,0,0,0,0,0,33.2772,0,6.16843e-05,6.16843e-05,6.16843e-05
20,78.601,0,39.8708,0,0,0,0,0,0,33.2772,0,6.43268e-05,6.43268e-05,6.43268e-05
21,82.2742,0,39.8641,0,0,0,0,0,0,33.2685,0,6.68868e-05,6.68868e-05,6.68868e-05
22,85.7659,0,39.8591,0,0,0,0,0,0,33.2685,0,6.93642e-05,6.93642e-05,6.93642e-05
23,89.1122,0,39.7801,0,0,0,0,0,0,33.2585,0,7.1759e-05,7.1759e-05,7.1759e-05
24,92.7297,0,39.682,0,0,0,0,0,0,33.2585,0,7.40713e-05,7.40713e-05,7.40713e-05
25,96.9161,0,39.731,0,0,0,0,0,0,33.2457,0,7.6301e-05,7.6301e-05,7.6301e-05
26,100.737,0,39.6028,0,0,0,0,0,0,33.2457,0,7.84481e-05,7.84481e-05,7.84481e-05
27,104.97,0,39.6207,0,0,0,0,0,0,33.2327,0,8.05127e-05,8.05127e-05,8.05127e-05
28,108.809,0,39.5184,0,0,0,0,0,0,33.2327,0,8.24947e-05,8.24947e-05,8.24947e-05
29,112.84,0,39.5506,0,0,0,0,0,0,33.2193,0,8.43941e-05,8.43941e-05,8.43941e-05
30,116.592,0,39.4691,0,0,0,0,0,0,33.2193,0,8.6211e-05,8.6211e-05,8.6211e-05
31,120.373,0,39.4555,0,0,0,0,0,0,33.2052,0,8.79453e-05,8.79453e-05,8.79453e-05
32,123.706,0,39.3394,0,0,0,0,0,0,33.2052,0,8.9597e-05,8.9597e-05,8.9597e-05
33,127.127,0,39.3021,0,0,0,0,0,0,33.1879,0,9.11662e-05,9.11662e-05,9.11662e-05
34,130.694,0,39.3255,0,0,0,0,0,0,33.1879,0,9.26528e-05,9.26528e-05,9.26528e-05
35,134.217,0,39.2284,0,0,0,0,0,0,33.1716,0,9.40569e-05,9.40569e-05,9.40569e-05
36,137.542,0,39.1385,0,0,0,0,0,0,33.1716,0,9.53783e-05,9.53783e-05,9.53783e-05
37,140.928,0,39.1069,0,0,0,0,0,0,33.1595,0,9.66172e-05,9.66172e-05,9.66172e-05
38,144.347,0,39.0822,0,0,0,0,0,0,33.1595,0,9.77736e-05,9.77736e-05,9.77736e-05
39,147.853,0,39.0292,0,0,0,0,0,0,33.1429,0,9.88473e-05,9.88473e-05,9.88473e-05
40,152.136,0,38.8967,0,0,0,0,0,0,33.1429,0,9.98386e-05,9.98386e-05,9.98386e-05
41,156.209,0,38.9239,0,0,0,0,0,0,33.1321,0,0.000100747,0.000100747,0.000100747
42,168.95,0,38.8164,0,0,0,0,0,0,33.1321,0,0.000101573,0.000101573,0.000101573
