epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.75465,2.19505,4.6181,1.95573,0,0,0,0,1.87322,4.60603,1.68663,0,0,0
2,7.16778,2.16205,4.78282,2.00852,0,0,0,0,1.90356,4.63363,1.72076,4.12872e-06,4.12872e-06,4.12872e-06
3,10.5118,2.03368,4.49704,1.98133,0,0,0,0,1.90714,4.62083,1.72673,8.17487e-06,8.17487e-06,8.17487e-06
4,13.9254,2.14387,4.69958,1.87198,0,0,0,0,1.89624,4.61564,1.71971,1.21385e-05,1.21385e-05,1.21385e-05
5,17.4707,2.54372,4.65691,2.21167,0,0,0,0,1.88722,4.60358,1.71144,1.60195e-05,1.60195e-05,1.60195e-05
6,20.9749,2.26197,4.74237,2.05686,0,0,0,0,1.87137,4.59991,1.69698,1.98179e-05,1.98179e-05,1.98179e-05
7,24.3793,1.88418,4.56042,1.82578,0,0,0,0,1.88871,4.58035,1.69777,2.35338e-05,2.35338e-05,2.35338e-05
8,27.7713,1.92285,4.65447,1.75385,0,0,0,0,1.86797,4.58784,1.69096,2.71671e-05,2.71671e-05,2.71671e-05
9,31.3412,1.72388,4.67373,1.77718,0,0,0,0,1.84862,4.58456,1.66857,3.07179e-05,3.07179e-05,3.07179e-05
10,34.9818,1.83027,4.53072,1.7623,0,0,0,0,1.80778,4.60061,1.63711,3.41861e-05,3.41861e-05,3.41861e-05
11,38.8892,1.89795,4.44904,1.97864,0,0,0,0,1.76417,4.5829,1.58905,3.75717e-05,3.75717e-05,3.75717e-05
12,42.7276,2.04169,4.70822,1.821,0,0,0,0,1.72564,4.58933,1.56698,4.08748e-05,4.08748e-05,4.08748e-05
13,46.0915,1.63753,4.62317,1.62774,0,0,0,0,1.73648,4.56015,1.5656,4.40952e-05,4.40952e-05,4.40952e-05
14,50.4209,1.67098,4.54602,1.56318,0,0,0,0,1.72628,4.55759,1.56332,4.72332e-05,4.72332e-05,4.72332e-05
15,55.5658,1.50879,4.21167,1.65598,0,0,0,0,1.69191,4.53958,1.53164,5.02885e-05,5.02885e-05,5.02885e-05
16,59.0031,1.94658,4.4362,1.89282,0,0,0,0,1.68582,4.53751,1.53156,5.32613e-05,5.32613e-05,5.32613e-05
17,62.699,1.6829,4.5877,1.59927,0,0,0,0,1.65814,4.52867,1.51195,5.61516e-05,5.61516e-05,5.61516e-05
18,66.0891,1.53113,4.57599,1.54841,0,0,0,0,1.65814,4.52867,1.51195,5.89592e-05,5.89592e-05,5.89592e-05
19,69.5859,1.43352,4.06729,1.52391,0,0,0,0,1.6384,4.49945,1.49874,6.16843e-05,6.16843e-05,6.16843e-05
20,73.0574,1.78639,4.69296,1.66892,0,0,0,0,1.6384,4.49945,1.49874,6.43268e-05,6.43268e-05,6.43268e-05
21,76.5801,1.48777,4.4965,1.41194,0,0,0,0,1.59209,4.47513,1.46153,6.68868e-05,6.68868e-05,6.68868e-05
22,80.1502,1.56406,4.59036,1.4515,0,0,0,0,1.59209,4.47513,1.46153,6.93642e-05,6.93642e-05,6.93642e-05
23,83.6122,1.52687,4.30565,1.60942,0,0,0,0,1.48767,4.46537,1.4016,7.1759e-05,7.1759e-05,7.1759e-05
24,87.16,1.73135,4.54859,1.60124,0,0,0,0,1.48767,4.46537,1.4016,7.40713e-05,7.40713e-05,7.40713e-05
25,90.6803,1.42821,4.23806,1.43298,0,0,0,0,1.46551,4.40533,1.37556,7.6301e-05,7.6301e-05,7.6301e-05
26,94.0528,1.2799,4.31565,1.35693,0,0,0,0,1.46551,4.40533,1.37556,7.84481e-05,7.84481e-05,7.84481e-05
27,97.5723,1.46466,4.41617,1.41631,0,0,0,0,1.41939,4.36813,1.34318,8.05127e-05,8.05127e-05,8.05127e-05
28,100.981,1.41934,4.21084,1.37999,0,0,0,0,1.41939,4.36813,1.34318,8.24947e-05,8.24947e-05,8.24947e-05
29,104.486,1.35647,4.17277,1.22604,0,0,0,0,1.40053,4.36345,1.3027,8.43941e-05,8.43941e-05,8.43941e-05
30,107.977,1.2964,4.09505,1.28394,0,0,0,0,1.40053,4.36345,1.3027,8.6211e-05,8.6211e-05,8.6211e-05
31,111.473,1.14984,4.11974,1.1741,0,0,0,0,1.41466,4.33613,1.26998,8.79453e-05,8.79453e-05,8.79453e-05
32,114.84,1.3307,4.01258,1.26773,0,0,0,0,1.41466,4.33613,1.26998,8.9597e-05,8.9597e-05,8.9597e-05
33,118.236,1.37201,4.08433,1.23805,0,0,0,0,1.37709,4.31394,1.22627,9.11662e-05,9.11662e-05,9.11662e-05
34,121.665,1.24816,3.92315,1.32797,0,0,0,0,1.37709,4.31394,1.22627,9.26528e-05,9.26528e-05,9.26528e-05
35,125.224,1.44835,4.16899,1.36636,0,0,0,0,1.38728,4.30272,1.21931,9.40569e-05,9.40569e-05,9.40569e-05
36,128.661,1.12565,3.90525,1.14766,0,0,0,0,1.38728,4.30272,1.21931,9.53783e-05,9.53783e-05,9.53783e-05
37,132.204,1.32527,4.20208,1.19602,0.2,0.1,0.15,0.075,1.45955,4.28315,1.24069,9.66172e-05,9.66172e-05,9.66172e-05
38,135.689,1.18364,3.87874,1.19435,0.2,0.1,0.15,0.075,1.45955,4.28315,1.24069,9.77736e-05,9.77736e-05,9.77736e-05
39,139.309,1.42114,4.1351,1.31703,0.26667,0.3,0.21633,0.12807,1.44764,4.26636,1.21608,9.88473e-05,9.88473e-05,9.88473e-05
40,142.785,1.10653,3.87009,1.16503,0.26667,0.3,0.21633,0.12807,1.44764,4.26636,1.21608,9.98386e-05,9.98386e-05,9.98386e-05
41,146.229,1.31178,3.85696,1.24289,0.25,0.45,0.311,0.18655,1.38552,4.25916,1.20481,0.000100747,0.000100747,0.000100747
42,149.666,1.23245,3.91599,1.24218,0.25,0.45,0.311,0.18655,1.38552,4.25916,1.20481,0.000101573,0.000101573,0.000101573
43,153.161,1.11977,3.88092,1.09788,0.49,0.6,0.55475,0.319,1.39909,4.23539,1.20871,0.000102317,0.000102317,0.000102317
44,156.601,1.13696,3.82575,1.15378,0.49,0.6,0.55475,0.319,1.39909,4.23539,1.20871,0.000102978,0.000102978,0.000102978
45,160.035,1.06356,3.86134,1.1014,0.245,0.55,0.4101,0.25753,1.34964,4.22314,1.18811,0.000103556,0.000103556,0.000103556
46,163.41,1.58153,3.77054,1.32196,0.245,0.55,0.4101,0.25753,1.34964,4.22314,1.18811,0.000104052,0.000104052,0.000104052
47,166.849,1.08488,3.80654,1.03248,0.23723,0.6,0.41571,0.24256,1.34518,4.19742,1.19647,0.000104465,0.000104465,0.000104465
48,170.227,1.20834,3.76605,1.18937,0.23723,0.6,0.41571,0.24256,1.34518,4.19742,1.19647,0.000104796,0.000104796,0.000104796
49,173.733,1.04063,3.66405,1.0824,0.195,0.6,0.3914,0.24334,1.32256,4.17187,1.1859,0.000105044,0.000105044,0.000105044
50,177.098,1.08903,3.78385,1.15059,0.195,0.6,0.3914,0.24334,1.32256,4.17187,1.1859,0.00010521,0.00010521,0.00010521
51,180.523,1.07449,3.68398,1.17326,0.21167,0.6,0.39773,0.24089,1.2825,4.14217,1.17113,0.000105293,0.000105293,0.000105293
