epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,183.87,1.13583,3.45793,1.17329,0.21167,0.6,0.39773,0.24089,1.2825,4.14217,1.17113,0.000105293,0.000105293,0.000105293
53,187.269,0.98141,3.45718,1.04871,0.21167,0.6,0.39773,0.24089,1.2825,4.14217,1.17113,0.000105211,0.000105211,0.000105211
54,190.808,0.94322,3.63427,1.02099,0.21167,0.65,0.42598,0.26665,1.2298,4.12366,1.16488,0.000105046,0.000105046,0.000105046
55,194.167,1.11092,3.57746,1.10864,0.21167,0.65,0.42598,0.26665,1.2298,4.12366,1.16488,0.000104799,0.000104799,0.000104799
56,197.54,1.12287,3.33371,1.13748,0.21167,0.65,0.42598,0.26665,1.2298,4.12366,1.16488,0.000104469,0.000104469,0.000104469
57,201.017,1.0571,3.59858,1.17275,0.18485,0.65,0.42403,0.25894,1.22763,4.08892,1.16424,0.000104057,0.000104057,0.000104057
58,204.391,1.00776,3.42187,0.99509,0.18485,0.65,0.42403,0.25894,1.22763,4.08892,1.16424,0.000103562,0.000103562,0.000103562
59,207.849,1.11313,3.51818,1.08789,0.18485,0.65,0.42403,0.25894,1.22763,4.08892,1.16424,0.000102984,0.000102984,0.000102984
60,211.314,1.06269,3.60063,1.0294,0.16623,0.65,0.406,0.24598,1.24235,4.07023,1.17576,0.000102324,0.000102324,0.000102324
61,214.755,1.03038,3.49231,0.97572,0.16623,0.65,0.406,0.24598,1.24235,4.07023,1.17576,0.000101581,0.000101581,0.000101581
62,218.195,1.12319,3.57552,1.05985,0.16623,0.65,0.406,0.24598,1.24235,4.07023,1.17576,0.000100756,0.000100756,0.000100756
63,221.689,1.21572,3.3486,1.19508,0.18731,0.8,0.42765,0.2714,1.25377,4.04824,1.18601,9.98481e-05,9.98481e-05,9.98481e-05
64,225.088,1.09817,3.35325,1.07012,0.18731,0.8,0.42765,0.2714,1.25377,4.04824,1.18601,9.88578e-05,9.88578e-05,9.88578e-05
65,228.513,1.27276,3.57757,1.1954,0.18731,0.8,0.42765,0.2714,1.25377,4.04824,1.18601,9.77848e-05,9.77848e-05,9.77848e-05
66,231.931,1.10329,3.32547,1.17403,0.1632,0.8,0.41664,0.25884,1.30832,4.00186,1.19039,9.66293e-05,9.66293e-05,9.66293e-05
67,235.303,1.05802,3.34003,1.02596,0.1632,0.8,0.41664,0.25884,1.30832,4.00186,1.19039,9.53913e-05,9.53913e-05,9.53913e-05
68,238.661,0.89437,3.03863,1.00723,0.1632,0.8,0.41664,0.25884,1.30832,4.00186,1.19039,9.40706e-05,9.40706e-05,9.40706e-05
69,242.131,1.04926,3.28964,1.07328,0.17504,0.9,0.47269,0.3012,1.30355,3.96681,1.18548,9.26674e-05,9.26674e-05,9.26674e-05
70,245.547,0.85606,3.21125,0.90653,0.17504,0.9,0.47269,0.3012,1.30355,3.96681,1.18548,9.11816e-05,9.11816e-05,9.11816e-05
71,249.023,1.06687,3.38988,1.08884,0.17504,0.9,0.47269,0.3012,1.30355,3.96681,1.18548,8.96133e-05,8.96133e-05,8.96133e-05
72,252.4,0.99591,3.37197,1.20938,0.1715,0.9,0.47509,0.30264,1.28428,3.93079,1.18682,8.79624e-05,8.79624e-05,8.79624e-05
73,255.78,1.04795,3.22406,1.06276,0.1715,0.9,0.47509,0.30264,1.28428,3.93079,1.18682,8.62289e-05,8.62289e-05,8.62289e-05
74,259.149,1.17541,3.10514,1.22044,0.1715,0.9,0.47509,0.30264,1.28428,3.93079,1.18682,8.44129e-05,8.44129e-05,8.44129e-05
75,262.718,0.8742,3.09912,0.97381,0.17049,0.95,0.51448,0.31056,1.27927,3.88828,1.16605,8.25143e-05,8.25143e-05,8.25143e-05
76,266.146,0.89826,2.81732,0.99877,0.17049,0.95,0.51448,0.31056,1.27927,3.88828,1.16605,8.05331e-05,8.05331e-05,8.05331e-05
77,269.526,0.86258,3.12855,0.95469,0.17049,0.95,0.51448,0.31056,1.27927,3.88828,1.16605,7.84694e-05,7.84694e-05,7.84694e-05
78,273.117,1.07873,2.92954,1.15441,0.17126,0.95,0.62824,0.38897,1.29024,3.90037,1.15881,7.63231e-05,7.63231e-05,7.63231e-05
79,276.448,1.02663,2.89686,0.99363,0.17126,0.95,0.62824,0.38897,1.29024,3.90037,1.15881,7.40942e-05,7.40942e-05,7.40942e-05
80,279.868,1.0949,3.02888,1.03098,0.17126,0.95,0.62824,0.38897,1.29024,3.90037,1.15881,7.17828e-05,7.17828e-05,7.17828e-05
81,283.424,0.96438,3.41471,0.96822,0.1616,0.95,0.60917,0.38351,1.31844,3.92627,1.1855,6.93888e-05,6.93888e-05,6.93888e-05
82,286.843,1.03755,3.09641,1.19261,0.1616,0.95,0.60917,0.38351,1.31844,3.92627,1.1855,6.69122e-05,6.69122e-05,6.69122e-05
83,290.306,0.72251,2.90817,0.88169,0.1616,0.95,0.60917,0.38351,1.31844,3.92627,1.1855,6.43531e-05,6.43531e-05,6.43531e-05
84,293.716,0.83806,2.87507,0.99625,0.1714,0.95,0.62037,0.3844,1.31866,3.94268,1.20723,6.17114e-05,6.17114e-05,6.17114e-05
85,297.081,0.95363,2.81385,1.01257,0.1714,0.95,0.62037,0.3844,1.31866,3.94268,1.20723,5.89872e-05,5.89872e-05,5.89872e-05
86,300.449,0.86718,3.52659,1.02712,0.1714,0.95,0.62037,0.3844,1.31866,3.94268,1.20723,5.61803e-05,5.61803e-05,5.61803e-05
87,303.893,0.88989,3.17204,1.01176,0.1714,0.95,0.62037,0.3844,1.31866,3.94268,1.20723,5.32909e-05,5.32909e-05,5.32909e-05
88,307.313,1.05437,3.04679,1.00292,0.17,0.95,0.61674,0.38093,1.32141,3.9199,1.2135,5.0319e-05,5.0319e-05,5.0319e-05
89,310.69,0.86951,2.83244,0.90922,0.17,0.95,0.61674,0.38093,1.32141,3.9199,1.2135,4.72644e-05,4.72644e-05,4.72644e-05
90,314.095,1.04443,2.97448,1.07453,0.17,0.95,0.61674,0.38093,1.32141,3.9199,1.2135,4.41274e-05,4.41274e-05,4.41274e-05
91,317.445,0.88077,2.61639,0.88757,0.17,0.95,0.61674,0.38093,1.32141,3.9199,1.2135,4.09077e-05,4.09077e-05,4.09077e-05
92,320.849,0.95053,2.5519,0.93252,0.17821,0.95,0.63286,0.41215,1.32285,3.89864,1.22105,3.76055e-05,3.76055e-05,3.76055e-05
93,324.216,0.78409,2.4389,0.937,0.17821,0.95,0.63286,0.41215,1.32285,3.89864,1.22105,3.42207e-05,3.42207e-05,3.42207e-05
94,327.623,0.91959,2.44202,0.9503,0.17821,0.95,0.63286,0.41215,1.32285,3.89864,1.22105,3.07533e-05,3.07533e-05,3.07533e-05
95,331.043,0.77988,2.47147,0.96902,0.17821,0.95,0.63286,0.41215,1.32285,3.89864,1.22105,2.72034e-05,2.72034e-05,2.72034e-05
96,334.585,0.80805,2.42083,0.9556,0.16517,0.95,0.64011,0.41473,1.32184,3.87838,1.2244,2.35709e-05,2.35709e-05,2.35709e-05
97,338.049,0.91569,2.55831,1.02052,0.16517,0.95,0.64011,0.41473,1.32184,3.87838,1.2244,1.98559e-05,1.98559e-05,1.98559e-05
98,341.436,1.06451,2.58819,0.95297,0.16517,0.95,0.64011,0.41473,1.32184,3.87838,1.2244,1.60583e-05,1.60583e-05,1.60583e-05
99,344.911,0.81663,2.60529,0.96325,0.16517,0.95,0.64011,0.41473,1.32184,3.87838,1.2244,1.21781e-05,1.21781e-05,1.21781e-05
100,348.38,0.84868,2.54799,0.89202,0.15389,0.95,0.63286,0.41832,1.32107,3.8643,1.20903,8.21532e-06,8.21532e-06,8.21532e-06
